site_id,site_type,base_demand
S_000,Infrastructure,7.727374508106509
S_001,Construction,7.7510676478015075
S_002,Infrastructure,9.563633644393066
S_003,Infrastructure,12.871346474483568
S_004,Construction,11.479175279631736
S_005,Construction,9.368437102970628
S_006,Infrastructure,14.177793420835693
S_007,Mining,7.092407909780627
S_008,Infrastructure,9.382169728028273
S_009,Infrastructure,10.495427649405375
S_010,Infrastructure,11.841049763255539
S_011,Infrastructure,16.777639420895206
S_012,Construction,7.995106732375396
S_013,Infrastructure,12.713516576204174
S_014,Mining,13.886218532930638
S_015,Construction,5.696756190799966
S_016,Mining,14.113172778521575
S_017,Mining,7.557861855309373
S_018,Mining,5.975773894779193
S_019,Mining,19.233283058799998
