usage_id,date,equipment_id,rental_id,site_id,operator_id,engine_hours,idle_hours,fuel_consumed_liters,utilization_percentage,is_anomaly,anomaly_type
U_0000001,2024-05-17,EQ_00504,R_000001,SITE_029,OP_0201,5.74,1.16,81.79,47.82,No,None
U_0000002,2024-05-18,EQ_00504,R_000001,SITE_029,OP_0201,11.03,2.0,166.15,91.93,No,None
U_0000003,2024-05-19,EQ_00504,R_000001,SITE_029,OP_0201,9.44,5.6,156.06,78.69,No,None
U_0000004,2024-05-20,EQ_00504,R_000001,SITE_029,OP_0201,9.3,3.61,150.09,77.52,No,None
U_0000005,2024-05-21,EQ_00504,R_000001,SITE_029,OP_0201,4.85,3.3,81.14,40.45,No,None
U_0000006,2024-05-22,EQ_00504,R_000001,SITE_029,OP_0201,2.56,0.76,40.25,21.37,No,None
U_0000007,2024-05-23,EQ_00504,R_000001,SITE_029,OP_0201,3.17,1.23,56.24,26.45,No,None
U_0000008,2024-05-24,EQ_00504,R_000001,SITE_029,OP_0201,0.93,1.83,15.5,7.72,No,None
U_0000009,2024-05-25,EQ_00504,R_000001,SITE_029,OP_0201,7.4,4.13,121.38,61.63,No,None
U_0000010,2024-05-26,EQ_00504,R_000001,SITE_029,OP_0201,7.54,3.21,119.91,62.82,No,None
U_0000011,2024-05-27,EQ_00504,R_000001,SITE_029,OP_0201,3.99,4.23,57.61,33.26,No,None
U_0000012,2024-05-28,EQ_00504,R_000001,SITE_029,OP_0201,8.0,3.58,101.7,66.67,No,None
U_0000013,2024-05-29,EQ_00504,R_000001,SITE_029,OP_0201,6.4,1.74,96.03,53.32,No,None
U_0000014,2024-05-30,EQ_00504,R_000001,SITE_029,OP_0201,2.65,0.23,42.93,22.07,No,None
U_0000015,2026-05-14,EQ_00418,R_000002,SITE_019,OP_0071,3.94,1.48,80.35,32.83,No,None
U_0000016,2026-05-15,EQ_00418,R_000002,SITE_019,OP_0071,7.11,2.43,136.25,59.24,No,None
U_0000017,2026-05-16,EQ_00418,R_000002,SITE_019,OP_0071,5.8,4.84,109.61,48.37,No,None
U_0000018,2026-05-17,EQ_00418,R_000002,SITE_019,OP_0071,5.41,2.16,96.68,45.04,No,None
U_0000019,2026-05-18,EQ_00418,R_000002,SITE_019,OP_0071,6.32,0.24,121.27,52.63,No,None
U_0000020,2024-03-23,EQ_00774,R_000003,SITE_020,OP_0131,4.65,7.11,92.06,38.76,No,None
U_0000021,2024-03-24,EQ_00774,R_000003,SITE_020,OP_0131,6.69,2.08,115.04,55.77,No,None
U_0000022,2024-03-25,EQ_00774,R_000003,SITE_020,OP_0131,9.66,4.75,131.11,80.51,No,None
U_0000023,2024-03-26,EQ_00774,R_000003,SITE_020,OP_0131,7.17,0.51,118.0,59.75,No,None
U_0000024,2024-03-27,EQ_00774,R_000003,SITE_020,OP_0131,5.16,1.72,73.18,42.99,No,None
U_0000025,2024-03-28,EQ_00774,R_000003,SITE_020,OP_0131,8.12,3.68,138.35,67.69,No,None
U_0000026,2024-03-29,EQ_00774,R_000003,SITE_020,OP_0131,7.57,2.12,137.31,63.09,No,None
U_0000027,2024-03-30,EQ_00774,R_000003,SITE_020,OP_0131,10.28,0.0,181.93,85.7,No,None
U_0000028,2024-03-31,EQ_00774,R_000003,SITE_020,OP_0131,6.01,0.0,112.68,50.12,No,None
U_0000029,2024-04-01,EQ_00774,R_000003,SITE_020,OP_0131,3.71,5.03,71.15,30.9,No,None
U_0000030,2024-04-02,EQ_00774,R_000003,SITE_020,OP_0131,5.23,1.75,99.13,43.61,No,None
U_0000031,2024-04-03,EQ_00774,R_000003,SITE_020,OP_0131,8.07,2.37,145.56,67.29,No,None
U_0000032,2024-04-04,EQ_00774,R_000003,SITE_020,OP_0131,3.56,3.76,110.14,29.71,Yes,High Fuel Consumption
U_0000033,2024-04-05,EQ_00774,R_000003,SITE_020,OP_0131,3.79,2.5,61.39,31.59,No,None
U_0000034,2024-07-26,EQ_00353,R_000004,SITE_001,OP_0131,7.66,2.77,138.6,63.83,No,None
U_0000035,2024-07-27,EQ_00353,R_000004,SITE_001,OP_0131,9.15,0.0,152.53,76.26,No,None
U_0000036,2024-07-28,EQ_00353,R_000004,SITE_001,OP_0131,4.79,2.2,75.4,39.89,No,None
U_0000037,2024-07-29,EQ_00353,R_000004,SITE_001,OP_0131,8.36,3.32,162.71,69.69,No,None
U_0000038,2024-07-30,EQ_00353,R_000004,SITE_001,OP_0131,7.66,0.03,148.2,63.85,No,None
U_0000039,2024-07-31,EQ_00353,R_000004,SITE_001,OP_0131,2.97,3.57,56.95,24.75,No,None
U_0000040,2026-08-04,EQ_00051,R_000005,SITE_030,OP_0165,4.45,5.08,82.36,37.05,No,None
U_0000041,2026-08-05,EQ_00051,R_000005,SITE_030,OP_0165,4.91,4.75,110.71,40.92,No,None
U_0000042,2026-08-06,EQ_00051,R_000005,SITE_030,OP_0165,6.97,0.23,140.17,58.08,No,None
U_0000043,2026-08-07,EQ_00051,R_000005,SITE_030,OP_0165,3.38,3.02,76.75,28.17,No,None
U_0000044,2026-08-08,EQ_00051,R_000005,SITE_030,OP_0165,8.89,7.78,189.52,74.05,No,None
U_0000045,2026-08-09,EQ_00051,R_000005,SITE_030,OP_0165,5.17,6.77,126.13,43.05,No,None
U_0000046,2026-08-10,EQ_00051,R_000005,SITE_030,OP_0165,10.26,1.43,216.53,85.53,No,None
U_0000047,2026-08-11,EQ_00051,R_000005,SITE_030,OP_0165,5.59,2.73,116.71,46.61,No,None
U_0000048,2026-08-12,EQ_00051,R_000005,SITE_030,OP_0165,9.79,4.14,213.21,81.56,No,None
U_0000049,2026-08-13,EQ_00051,R_000005,SITE_030,OP_0165,2.66,2.23,51.7,22.13,No,None
U_0000050,2026-08-14,EQ_00051,R_000005,SITE_030,OP_0165,5.86,4.32,120.29,48.84,No,None
U_0000051,2026-08-15,EQ_00051,R_000005,SITE_030,OP_0165,5.7,1.6,111.43,47.54,No,None
U_0000052,2026-08-16,EQ_00051,R_000005,SITE_030,OP_0165,5.39,4.9,95.44,44.94,No,None
U_0000053,2026-08-17,EQ_00051,R_000005,SITE_030,OP_0165,3.21,2.8,54.32,26.73,No,None
U_0000054,2024-01-08,EQ_00784,R_000006,SITE_026,OP_0114,4.21,5.09,87.24,35.09,No,None
U_0000055,2024-01-09,EQ_00784,R_000006,SITE_026,OP_0114,5.09,5.66,75.97,42.4,No,None
U_0000056,2024-01-10,EQ_00784,R_000006,SITE_026,OP_0114,6.18,1.88,110.54,51.48,No,None
U_0000057,2024-01-11,EQ_00784,R_000006,SITE_026,OP_0114,5.69,4.7,107.34,47.41,No,None
U_0000058,2024-01-12,EQ_00784,R_000006,SITE_026,OP_0114,3.92,2.9,54.53,32.66,No,None
U_0000059,2024-01-13,EQ_00784,R_000006,SITE_026,OP_0114,3.62,2.95,56.71,30.16,No,None
U_0000060,2024-01-14,EQ_00784,R_000006,SITE_026,OP_0114,5.46,7.32,93.55,45.53,No,None
U_0000061,2024-01-15,EQ_00784,R_000006,SITE_026,OP_0114,7.64,0.0,131.44,63.67,No,None
U_0000062,2024-01-16,EQ_00784,R_000006,SITE_026,OP_0114,6.85,5.11,121.12,57.04,No,None
U_0000063,2024-01-17,EQ_00784,R_000006,SITE_026,OP_0114,2.37,4.64,38.86,19.77,No,None
U_0000064,2024-01-18,EQ_00784,R_000006,SITE_026,OP_0114,4.65,2.56,64.19,38.72,No,None
U_0000065,2024-01-19,EQ_00784,R_000006,SITE_026,OP_0114,7.29,6.15,123.47,60.74,No,None
U_0000066,2024-01-20,EQ_00784,R_000006,SITE_026,OP_0114,5.58,1.93,261.87,46.46,Yes,High Fuel Consumption
U_0000067,2024-11-18,EQ_00678,R_000007,SITE_014,OP_0252,4.01,17.46,77.36,33.43,Yes,Excessive Idle
U_0000068,2024-11-19,EQ_00678,R_000007,SITE_014,OP_0252,7.89,2.67,128.31,65.73,No,None
U_0000069,2024-11-20,EQ_00678,R_000007,SITE_014,OP_0252,8.56,0.89,159.29,71.31,No,None
U_0000070,2024-11-21,EQ_00678,R_000007,SITE_014,OP_0252,6.16,0.94,123.12,51.32,No,None
U_0000071,2024-11-22,EQ_00678,R_000007,SITE_014,OP_0252,9.77,6.91,181.22,81.44,No,None
U_0000072,2024-11-23,EQ_00678,R_000007,SITE_014,OP_0252,7.49,6.86,136.19,62.4,No,None
U_0000073,2024-11-24,EQ_00678,R_000007,SITE_014,OP_0252,5.89,2.68,96.53,49.12,No,None
U_0000074,2024-11-25,EQ_00678,R_000007,SITE_014,OP_0252,5.12,2.87,98.79,42.68,No,None
U_0000075,2025-01-27,EQ_00145,R_000008,SITE_029,OP_0299,7.98,3.53,56.67,66.52,No,None
U_0000076,2025-01-28,EQ_00145,R_000008,SITE_029,OP_0299,0.0,1.25,0.0,0.0,No,None
U_0000077,2025-01-29,EQ_00145,R_000008,SITE_029,OP_0299,8.38,4.82,54.52,69.85,No,None
U_0000078,2025-01-30,EQ_00145,R_000008,SITE_029,OP_0299,6.52,2.91,32.82,54.34,No,None
U_0000079,2025-01-31,EQ_00145,R_000008,SITE_029,OP_0299,4.89,0.98,32.16,40.71,No,None
U_0000080,2025-02-01,EQ_00145,R_000008,SITE_029,OP_0299,3.2,2.23,23.63,26.67,No,None
U_0000081,2025-02-02,EQ_00145,R_000008,SITE_029,OP_0299,5.95,0.0,53.74,49.58,No,None
U_0000082,2025-02-03,EQ_00145,R_000008,SITE_029,OP_0299,8.87,4.36,58.4,73.88,No,None
U_0000083,2025-02-04,EQ_00145,R_000008,SITE_029,OP_0299,5.27,3.48,37.85,43.89,No,None
U_0000084,2025-02-05,EQ_00145,R_000008,SITE_029,OP_0299,5.04,0.0,40.58,42.0,No,None
U_0000085,2025-02-06,EQ_00145,R_000008,SITE_029,OP_0299,6.8,0.0,52.79,56.7,No,None
U_0000086,2025-02-07,EQ_00145,R_000008,SITE_029,OP_0299,5.84,4.05,41.81,48.7,No,None
U_0000087,2025-02-08,EQ_00145,R_000008,SITE_029,OP_0299,6.58,1.71,54.51,54.81,No,None
U_0000088,2024-05-24,EQ_00053,R_000009,SITE_015,OP_0280,7.35,3.21,163.47,61.22,No,None
U_0000089,2024-05-25,EQ_00053,R_000009,SITE_015,OP_0280,5.38,4.12,120.25,44.8,No,None
U_0000090,2024-05-26,EQ_00053,R_000009,SITE_015,OP_0280,8.71,4.94,156.3,72.61,No,None
U_0000091,2024-05-27,EQ_00053,R_000009,SITE_015,OP_0280,3.48,0.12,61.38,29.0,No,None
U_0000092,2024-05-28,EQ_00053,R_000009,SITE_015,OP_0280,4.02,2.89,102.26,33.51,No,None
U_0000093,2024-05-29,EQ_00053,R_000009,SITE_015,OP_0280,5.9,3.89,94.44,49.15,No,None
U_0000094,2024-05-30,EQ_00053,R_000009,SITE_015,OP_0280,4.9,1.56,79.13,40.81,No,None
U_0000095,2024-05-31,EQ_00053,R_000009,SITE_015,OP_0280,6.8,2.33,137.72,56.66,No,None
U_0000096,2024-06-01,EQ_00053,R_000009,SITE_015,OP_0280,8.18,5.4,149.19,68.14,No,None
U_0000097,2024-06-02,EQ_00053,R_000009,SITE_015,OP_0280,3.48,1.7,63.6,29.04,No,None
U_0000098,2024-06-03,EQ_00053,R_000009,SITE_015,OP_0280,5.45,1.34,78.99,45.46,No,None
U_0000099,2024-06-04,EQ_00053,R_000009,SITE_015,OP_0280,5.28,1.27,119.48,43.97,No,None
U_0000100,2024-06-05,EQ_00053,R_000009,SITE_015,OP_0280,2.53,2.08,46.1,21.11,No,None
U_0000101,2024-06-06,EQ_00053,R_000009,SITE_015,OP_0280,2.68,2.66,58.9,22.37,No,None
U_0000102,2024-06-28,EQ_00130,R_000010,SITE_030,OP_0061,7.64,6.89,130.81,63.63,No,None
U_0000103,2024-06-29,EQ_00130,R_000010,SITE_030,OP_0061,5.71,6.42,90.24,47.59,No,None
U_0000104,2024-06-30,EQ_00130,R_000010,SITE_030,OP_0061,7.69,1.71,131.0,64.08,No,None
U_0000105,2024-07-01,EQ_00130,R_000010,SITE_030,OP_0061,8.11,4.19,133.99,67.59,No,None
U_0000106,2024-07-02,EQ_00130,R_000010,SITE_030,OP_0061,8.61,0.81,89.66,71.77,No,None
U_0000107,2024-07-03,EQ_00130,R_000010,SITE_030,OP_0061,8.13,1.43,128.15,67.74,No,None
U_0000108,2024-07-04,EQ_00130,R_000010,SITE_030,OP_0061,7.86,7.78,112.97,65.52,No,None
U_0000109,2024-07-05,EQ_00130,R_000010,SITE_030,OP_0061,7.0,1.55,109.79,58.36,No,None
U_0000110,2024-07-06,EQ_00130,R_000010,SITE_030,OP_0061,8.45,2.5,119.64,70.4,No,None
U_0000111,2024-07-07,EQ_00130,R_000010,SITE_030,OP_0061,10.76,0.0,142.85,89.69,No,None
U_0000112,2024-07-08,EQ_00130,R_000010,SITE_030,OP_0061,8.26,4.08,147.99,68.84,No,None
U_0000113,2024-07-09,EQ_00130,R_000010,SITE_030,OP_0061,4.96,3.77,77.08,41.36,No,None
U_0000114,2024-07-10,EQ_00130,R_000010,SITE_030,OP_0061,8.5,2.71,142.42,70.85,No,None
U_0000115,2024-07-11,EQ_00130,R_000010,SITE_030,OP_0061,0.98,0.0,84.46,8.19,Yes,Low Utilization
U_0000116,2024-08-26,EQ_00203,R_000011,SITE_017,OP_0227,9.2,2.64,115.09,76.63,No,None
U_0000117,2024-08-27,EQ_00203,R_000011,SITE_017,OP_0227,5.82,1.67,80.09,48.51,No,None
U_0000118,2024-08-28,EQ_00203,R_000011,SITE_017,OP_0227,9.04,5.33,125.9,75.31,No,None
U_0000119,2024-08-29,EQ_00203,R_000011,SITE_017,OP_0227,10.47,7.02,148.29,87.26,No,None
U_0000120,2024-08-30,EQ_00203,R_000011,SITE_017,OP_0227,4.61,3.94,70.61,38.39,No,None
U_0000121,2024-08-31,EQ_00203,R_000011,SITE_017,OP_0227,3.53,3.07,58.21,29.46,No,None
U_0000122,2024-09-01,EQ_00203,R_000011,SITE_017,OP_0227,5.59,2.78,77.14,46.57,No,None
U_0000123,2024-09-02,EQ_00203,R_000011,SITE_017,OP_0227,5.75,4.27,75.55,47.93,No,None
U_0000124,2024-09-03,EQ_00203,R_000011,SITE_017,OP_0227,8.17,2.15,134.45,68.06,No,None
U_0000125,2024-09-04,EQ_00203,R_000011,SITE_017,OP_0227,7.51,2.59,117.77,62.58,No,None
U_0000126,2024-09-05,EQ_00203,R_000011,SITE_017,OP_0227,7.69,3.42,106.89,64.04,No,None
U_0000127,2024-09-06,EQ_00203,R_000011,SITE_017,OP_0227,5.3,2.66,69.18,44.14,No,None
U_0000128,2024-09-07,EQ_00203,R_000011,SITE_017,OP_0227,6.3,4.98,90.1,52.52,No,None
U_0000129,2024-09-08,EQ_00203,R_000011,SITE_017,OP_0227,7.1,5.14,103.2,59.16,No,None
U_0000130,2026-07-20,EQ_00363,R_000012,SITE_027,OP_0078,10.84,3.91,264.71,90.33,No,None
U_0000131,2026-07-21,EQ_00363,R_000012,SITE_027,OP_0078,7.5,4.8,144.29,62.48,No,None
U_0000132,2026-07-22,EQ_00363,R_000012,SITE_027,OP_0078,6.83,2.57,178.83,56.9,No,None
U_0000133,2026-07-23,EQ_00363,R_000012,SITE_027,OP_0078,4.95,0.66,182.92,41.24,No,None
U_0000134,2026-07-24,EQ_00363,R_000012,SITE_027,OP_0078,3.01,0.33,104.23,25.08,No,None
U_0000135,2026-07-25,EQ_00363,R_000012,SITE_027,OP_0078,8.13,6.1,189.7,67.76,No,None
U_0000136,2026-07-26,EQ_00363,R_000012,SITE_027,OP_0078,5.51,2.75,150.37,45.93,No,None
U_0000137,2026-07-27,EQ_00363,R_000012,SITE_027,OP_0078,7.8,1.58,215.91,65.0,No,None
U_0000138,2026-07-28,EQ_00363,R_000012,SITE_027,OP_0078,3.85,3.41,121.91,32.08,No,None
U_0000139,2026-07-29,EQ_00363,R_000012,SITE_027,OP_0078,9.9,0.59,270.46,82.53,No,None
U_0000140,2026-07-30,EQ_00363,R_000012,SITE_027,OP_0078,3.12,1.94,80.71,25.99,No,None
U_0000141,2026-06-18,EQ_00587,R_000013,SITE_024,OP_0089,4.74,2.9,54.83,39.52,No,None
U_0000142,2026-06-19,EQ_00587,R_000013,SITE_024,OP_0089,6.78,0.0,83.53,56.51,No,None
U_0000143,2026-06-20,EQ_00587,R_000013,SITE_024,OP_0089,8.45,0.0,113.08,70.39,No,None
U_0000144,2026-06-21,EQ_00587,R_000013,SITE_024,OP_0089,5.27,3.1,60.37,43.96,No,None
U_0000145,2026-06-22,EQ_00587,R_000013,SITE_024,OP_0089,9.07,0.15,112.1,75.56,No,None
U_0000146,2026-06-23,EQ_00587,R_000013,SITE_024,OP_0089,8.56,2.76,102.09,71.37,No,None
U_0000147,2026-06-24,EQ_00587,R_000013,SITE_024,OP_0089,6.76,3.16,86.43,56.36,No,None
U_0000148,2026-06-25,EQ_00587,R_000013,SITE_024,OP_0089,4.05,3.43,57.14,33.76,No,None
U_0000149,2026-06-26,EQ_00587,R_000013,SITE_024,OP_0089,4.28,4.08,52.55,35.67,No,None
U_0000150,2026-06-27,EQ_00587,R_000013,SITE_024,OP_0089,4.14,2.97,43.88,34.49,No,None
U_0000151,2026-06-28,EQ_00587,R_000013,SITE_024,OP_0089,9.69,0.0,82.37,80.73,No,None
U_0000152,2026-06-29,EQ_00587,R_000013,SITE_024,OP_0089,5.94,3.96,70.37,49.49,No,None
U_0000153,2026-06-30,EQ_00587,R_000013,SITE_024,OP_0089,5.97,4.13,83.48,49.74,No,None
U_0000154,2026-07-01,EQ_00587,R_000013,SITE_024,OP_0089,3.66,2.6,36.71,30.5,No,None
U_0000155,2025-01-05,EQ_00522,R_000014,SITE_020,OP_0317,4.95,4.73,57.35,41.26,No,None
U_0000156,2025-01-06,EQ_00522,R_000014,SITE_020,OP_0317,7.16,1.66,78.23,59.67,No,None
U_0000157,2025-01-07,EQ_00522,R_000014,SITE_020,OP_0317,6.23,3.94,78.87,51.95,No,None
U_0000158,2025-01-08,EQ_00522,R_000014,SITE_020,OP_0317,8.53,5.24,88.44,71.12,No,None
U_0000159,2025-01-09,EQ_00522,R_000014,SITE_020,OP_0317,3.76,0.7,45.67,31.34,No,None
U_0000160,2025-01-10,EQ_00522,R_000014,SITE_020,OP_0317,10.65,3.42,142.58,88.77,No,None
U_0000161,2025-01-11,EQ_00522,R_000014,SITE_020,OP_0317,4.68,5.08,56.52,38.98,No,None
U_0000162,2025-01-12,EQ_00522,R_000014,SITE_020,OP_0317,11.11,5.23,130.98,92.55,No,None
U_0000163,2025-01-13,EQ_00522,R_000014,SITE_020,OP_0317,5.55,2.74,64.04,46.25,No,None
U_0000164,2025-01-14,EQ_00522,R_000014,SITE_020,OP_0317,6.03,0.62,58.48,50.24,No,None
U_0000165,2025-01-15,EQ_00522,R_000014,SITE_020,OP_0317,7.41,3.16,98.4,61.76,No,None
U_0000166,2025-01-16,EQ_00522,R_000014,SITE_020,OP_0317,4.6,1.58,61.98,38.34,No,None
U_0000167,2025-01-17,EQ_00522,R_000014,SITE_020,OP_0317,7.83,5.66,89.2,65.27,No,None
U_0000168,2025-01-18,EQ_00522,R_000014,SITE_020,OP_0317,4.94,0.0,56.92,41.13,No,None
U_0000169,2024-04-27,EQ_00169,R_000015,SITE_017,OP_0285,1.97,0.85,34.83,16.38,No,None
U_0000170,2024-04-28,EQ_00169,R_000015,SITE_017,OP_0285,4.92,3.26,61.69,41.02,No,None
U_0000171,2024-04-29,EQ_00169,R_000015,SITE_017,OP_0285,8.89,3.76,158.72,74.07,No,None
U_0000172,2024-04-30,EQ_00169,R_000015,SITE_017,OP_0285,5.04,3.0,75.59,42.01,No,None
U_0000173,2024-05-01,EQ_00169,R_000015,SITE_017,OP_0285,6.56,3.61,124.98,54.7,No,None
U_0000174,2024-02-09,EQ_00315,R_000016,SITE_016,OP_0133,5.54,5.29,84.1,46.18,No,None
U_0000175,2024-02-10,EQ_00315,R_000016,SITE_016,OP_0133,6.17,3.23,97.18,51.41,No,None
U_0000176,2024-02-11,EQ_00315,R_000016,SITE_016,OP_0133,4.14,1.91,85.46,34.47,No,None
U_0000177,2024-02-12,EQ_00315,R_000016,SITE_016,OP_0133,1.11,3.22,17.63,9.23,No,None
U_0000178,2024-02-13,EQ_00315,R_000016,SITE_016,OP_0133,5.99,2.32,116.39,49.91,No,None
U_0000179,2024-02-14,EQ_00315,R_000016,SITE_016,OP_0133,7.76,1.8,142.47,64.68,No,None
U_0000180,2024-02-15,EQ_00315,R_000016,SITE_016,OP_0133,5.06,1.94,86.24,42.13,No,None
U_0000181,2024-02-16,EQ_00315,R_000016,SITE_016,OP_0133,7.17,8.03,149.99,59.79,No,None
U_0000182,2024-02-17,EQ_00315,R_000016,SITE_016,OP_0133,7.62,3.15,145.09,63.53,No,None
U_0000183,2024-02-18,EQ_00315,R_000016,SITE_016,OP_0133,8.4,3.12,124.53,69.98,No,None
U_0000184,2024-02-19,EQ_00315,R_000016,SITE_016,OP_0133,7.51,0.75,156.99,62.62,No,None
U_0000185,2024-02-20,EQ_00315,R_000016,SITE_016,OP_0133,6.01,5.42,108.6,50.12,No,None
U_0000186,2024-02-21,EQ_00315,R_000016,SITE_016,OP_0133,6.66,1.34,96.23,55.5,No,None
U_0000187,2024-02-22,EQ_00315,R_000016,SITE_016,OP_0133,4.89,7.28,75.55,40.73,No,None
U_0000188,2026-05-28,EQ_00557,R_000017,SITE_005,OP_0236,4.73,1.48,30.66,39.4,No,None
U_0000189,2026-05-29,EQ_00557,R_000017,SITE_005,OP_0236,6.06,1.3,42.14,50.53,No,None
U_0000190,2026-05-30,EQ_00557,R_000017,SITE_005,OP_0236,6.2,21.45,42.33,51.7,Yes,Excessive Idle
U_0000191,2026-05-31,EQ_00557,R_000017,SITE_005,OP_0236,2.15,4.1,16.53,17.96,No,None
U_0000192,2026-06-01,EQ_00557,R_000017,SITE_005,OP_0236,5.1,3.05,31.74,42.54,No,None
U_0000193,2026-06-02,EQ_00557,R_000017,SITE_005,OP_0236,7.84,4.13,65.29,65.35,No,None
U_0000194,2026-06-03,EQ_00557,R_000017,SITE_005,OP_0236,7.63,0.0,49.22,63.62,No,None
U_0000195,2026-06-04,EQ_00557,R_000017,SITE_005,OP_0236,8.25,3.59,61.98,68.79,No,None
U_0000196,2026-06-05,EQ_00557,R_000017,SITE_005,OP_0236,6.01,2.08,46.07,50.1,No,None
