equipment_id,equipment_type,manufacturer,equipment_model,purchase_year,equipment_age_years,fuel_type,home_site_id,total_engine_hours,daily_rental_cost_inr,current_status
EQ_00001,Dump Truck,Liebherr,Volvo A40,2020,6,Diesel,SITE_029,5648,22000,Rented
EQ_00002,Dump Truck,Tata,CAT 777,2016,10,Diesel,SITE_001,11172,22000,Available
EQ_00003,Excavator,Komatsu,JCB JS220,2024,2,Diesel,SITE_014,4866,18000,Rented
EQ_00004,Loader,Liebherr,CAT 950,2024,2,Diesel,SITE_007,10513,14000,Available
EQ_00005,Excavator,Tata,CAT 320,2023,3,Diesel,SITE_028,10221,18000,Rented
EQ_00006,Loader,Komatsu,CAT 950,2022,4,Diesel,SITE_022,617,14000,Rented
EQ_00007,Crane,Komatsu,Zoomlion QY25,2020,6,Diesel,SITE_010,12707,30000,Rented
EQ_00008,Excavator,Volvo,Komatsu PC210,2021,5,Diesel,SITE_017,17412,18000,Rented
EQ_00009,Excavator,Volvo,Komatsu PC210,2021,5,Diesel,SITE_019,20629,18000,Available
EQ_00010,Dump Truck,JCB,Volvo A40,2017,9,Diesel,SITE_015,7610,22000,Available
EQ_00011,Excavator,Tata,CAT 320,2016,10,Diesel,SITE_015,19432,18000,Available
EQ_00012,Forklift,Tata,JCB Telehandler,2018,8,Diesel,SITE_002,19393,7000,Maintenance
EQ_00013,Dump Truck,Liebherr,Komatsu HD605,2020,6,Diesel,SITE_014,21750,22000,Idle
EQ_00014,Crane,Komatsu,Zoomlion QY25,2017,9,Diesel,SITE_011,8520,30000,Idle
EQ_00015,Dump Truck,Tata,Volvo A40,2017,9,Diesel,SITE_025,18794,22000,Rented
EQ_00016,Excavator,JCB,Komatsu PC210,2024,2,Diesel,SITE_026,12649,18000,Rented
EQ_00017,Forklift,Caterpillar,KION EFG,2019,7,Electric,SITE_023,1752,7000,Rented
EQ_00018,Loader,Komatsu,CAT 950,2021,5,Diesel,SITE_001,6312,14000,Maintenance
EQ_00019,Generator,Caterpillar,Cummins C500,2021,5,Diesel,SITE_026,14949,9000,Maintenance
EQ_00020,Excavator,JCB,Komatsu PC210,2023,3,Diesel,SITE_012,3952,18000,Idle
EQ_00021,Loader,Volvo,CAT 950,2023,3,Diesel,SITE_013,9846,14000,Idle
EQ_00022,Loader,JCB,Komatsu WA380,2018,8,Diesel,SITE_029,17160,14000,Rented
EQ_00023,Forklift,Caterpillar,JCB Telehandler,2024,2,Electric,SITE_027,3719,7000,Maintenance
EQ_00024,Dump Truck,Komatsu,CAT 777,2019,7,Diesel,SITE_002,11176,22000,Maintenance
EQ_00025,Loader,Liebherr,Komatsu WA380,2024,2,Diesel,SITE_011,5119,14000,Rented
EQ_00026,Bulldozer,Tata,Liebherr PR 726,2020,6,Diesel,SITE_023,12034,16000,Idle
EQ_00027,Crane,JCB,Zoomlion QY25,2017,9,Diesel,SITE_017,5675,30000,Available
EQ_00028,Loader,Komatsu,Komatsu WA380,2023,3,Diesel,SITE_008,21256,14000,Idle
EQ_00029,Loader,Tata,Komatsu WA380,2016,10,Diesel,SITE_016,2149,14000,Maintenance
EQ_00030,Excavator,Volvo,JCB JS220,2023,3,Diesel,SITE_026,21216,18000,Available
EQ_00031,Generator,Volvo,Kirloskar KG500,2016,10,Diesel,SITE_007,17525,9000,Rented
EQ_00032,Forklift,Tata,KION EFG,2018,8,Electric,SITE_023,18896,7000,Available
EQ_00033,Excavator,Volvo,Komatsu PC210,2022,4,Diesel,SITE_023,18807,18000,Maintenance
EQ_00034,Dump Truck,Komatsu,Volvo A40,2025,1,Diesel,SITE_027,4533,22000,Maintenance
EQ_00035,Excavator,JCB,JCB JS220,2020,6,Diesel,SITE_009,20518,18000,Rented
EQ_00036,Dump Truck,Komatsu,Komatsu HD605,2017,9,Diesel,SITE_007,13276,22000,Idle
EQ_00037,Bulldozer,Komatsu,Komatsu D65,2018,8,Diesel,SITE_017,21186,16000,Available
EQ_00038,Dump Truck,Tata,Volvo A40,2024,2,Diesel,SITE_016,19380,22000,Rented
EQ_00039,Generator,Liebherr,CAT XQ500,2023,3,Diesel,SITE_013,12961,9000,Rented
EQ_00040,Generator,Liebherr,CAT XQ500,2017,9,Diesel,SITE_024,8550,9000,Available
