maintenance_id,equipment_id,maintenance_date,maintenance_type,issue_category,severity,downtime_hours,maintenance_cost_inr,engine_hours_at_maintenance
M_000001,EQ_00001,2024-09-03,Preventive,Hydraulic,Low,9.6,15641.66,5306
M_000002,EQ_00001,2025-04-25,Preventive,Hydraulic,Medium,3.5,9047.25,5444
M_000003,EQ_00001,2025-08-25,Preventive,Hydraulic,Medium,19.8,77918.47,5500
M_000004,EQ_00001,2025-08-29,Corrective,Hydraulic,Medium,18.9,43326.87,6431
M_000005,EQ_00002,2025-10-13,Preventive,Scheduled Service,High,17.5,56025.72,11579
M_000006,EQ_00002,2024-05-15,Corrective,Electrical,Low,19.6,39561.37,11905
M_000007,EQ_00002,2025-05-04,Corrective,Scheduled Service,Medium,18.0,78955.64,11871
M_000008,EQ_00002,2026-05-13,Preventive,Tires/Tracks,Medium,14.8,20190.6,11073
M_000009,EQ_00003,2025-09-08,Corrective,Electrical,Low,23.2,58550.2,4157
M_000010,EQ_00003,2026-03-05,Corrective,Engine,Medium,35.7,120653.9,4501
M_000011,EQ_00003,2026-01-09,Preventive,Scheduled Service,High,36.7,127321.0,4479
M_000012,EQ_00003,2025-02-13,Preventive,Engine,Medium,10.2,33504.7,5082
M_000013,EQ_00004,2024-03-27,Preventive,Tires/Tracks,Low,3.9,13176.02,10208
M_000014,EQ_00004,2025-07-03,Corrective,Scheduled Service,Medium,10.6,17978.89,11429
M_000015,EQ_00004,2024-03-01,Preventive,Tires/Tracks,Medium,13.3,31118.86,10343
M_000016,EQ_00005,2024-06-20,Preventive,Engine,Medium,3.4,13069.44,10377
M_000017,EQ_00005,2025-03-22,Corrective,Scheduled Service,Low,9.9,31194.43,11180
M_000018,EQ_00005,2025-12-16,Preventive,Hydraulic,Low,7.9,20215.36,10321
M_000019,EQ_00005,2024-03-10,Preventive,Engine,Medium,3.4,14748.74,10985
M_000020,EQ_00006,2024-12-15,Corrective,Engine,Low,6.4,8717.46,753
M_000021,EQ_00006,2024-07-19,Preventive,Scheduled Service,Low,5.8,24725.94,-297
M_000022,EQ_00007,2024-10-03,Corrective,Electrical,Medium,10.4,40338.07,12365
M_000023,EQ_00007,2026-01-20,Preventive,Scheduled Service,Medium,5.4,20772.35,12215
M_000024,EQ_00007,2024-09-04,Preventive,Engine,Medium,14.6,30830.2,13686
M_000025,EQ_00008,2025-10-15,Corrective,Hydraulic,Low,6.8,25254.22,18115
M_000026,EQ_00008,2025-12-22,Corrective,Electrical,Medium,43.7,172931.33,17877
M_000027,EQ_00008,2024-04-15,Corrective,Electrical,Low,13.1,20261.39,16785
M_000028,EQ_00008,2025-08-30,Preventive,Engine,Medium,10.7,35932.96,17326
M_000029,EQ_00009,2025-01-21,Preventive,Electrical,Medium,10.5,46619.37,20648
M_000030,EQ_00009,2026-04-12,Preventive,Tires/Tracks,Medium,8.8,15842.51,21053
M_000031,EQ_00010,2026-08-08,Preventive,Hydraulic,Medium,9.4,24402.51,7116
M_000032,EQ_00010,2026-08-26,Corrective,Tires/Tracks,Low,3.1,9324.44,7906
M_000033,EQ_00010,2025-11-20,Corrective,Tires/Tracks,Medium,7.8,32020.27,7940
M_000034,EQ_00010,2025-01-11,Preventive,Hydraulic,Medium,16.3,52069.02,8089
M_000035,EQ_00011,2024-02-25,Corrective,Engine,Medium,8.9,32059.61,18865
M_000036,EQ_00011,2025-08-03,Corrective,Scheduled Service,Medium,14.4,22557.97,19970
M_000037,EQ_00011,2025-02-09,Corrective,Electrical,Low,6.6,12618.96,18881
M_000038,EQ_00011,2024-07-12,Preventive,Hydraulic,Medium,8.9,19210.84,20214
M_000039,EQ_00012,2024-03-11,Preventive,Tires/Tracks,Medium,4.7,6955.18,18621
M_000040,EQ_00012,2024-10-20,Preventive,Electrical,Low,8.6,19511.68,18610
M_000041,EQ_00012,2024-12-23,Preventive,Engine,Low,22.3,46278.46,18469
M_000042,EQ_00012,2025-01-18,Preventive,Engine,Medium,10.6,40624.6,19020
M_000043,EQ_00013,2024-07-07,Corrective,Electrical,Medium,3.3,10601.43,20968
M_000044,EQ_00013,2024-02-01,Preventive,Electrical,Low,9.2,36000.74,22137
M_000045,EQ_00013,2026-05-08,Preventive,Scheduled Service,Low,16.6,64359.67,21320
M_000046,EQ_00013,2024-07-02,Preventive,Engine,Medium,9.6,42842.78,20781
M_000047,EQ_00014,2024-04-07,Preventive,Engine,Low,7.4,27656.02,8094
M_000048,EQ_00014,2025-01-13,Preventive,Electrical,Low,30.4,43218.01,9290
M_000049,EQ_00014,2025-11-25,Preventive,Engine,Medium,5.4,19481.56,9397
M_000050,EQ_00014,2025-10-29,Corrective,Hydraulic,Low,1.3,2363.38,9428
M_000051,EQ_00015,2025-07-14,Corrective,Hydraulic,Low,1.0,2556.78,19425
M_000052,EQ_00015,2025-06-17,Preventive,Hydraulic,High,13.4,41731.65,18552
M_000053,EQ_00015,2024-10-18,Preventive,Engine,Medium,5.8,7521.54,19058
M_000054,EQ_00016,2026-06-07,Preventive,Engine,Low,17.7,48008.28,12419
M_000055,EQ_00016,2024-03-06,Preventive,Engine,Low,3.6,9479.72,12010
M_000056,EQ_00017,2024-08-22,Preventive,Engine,Medium,3.8,15159.28,1081
M_000057,EQ_00017,2026-04-30,Corrective,Engine,Low,12.3,54158.9,2194
M_000058,EQ_00017,2025-11-23,Corrective,Hydraulic,Medium,2.3,10224.97,2539
M_000059,EQ_00018,2025-11-14,Preventive,Hydraulic,Medium,4.3,16360.71,5946
M_000060,EQ_00019,2026-03-03,Preventive,Engine,Medium,19.6,69433.18,15777
M_000061,EQ_00019,2025-07-06,Preventive,Hydraulic,High,11.3,30106.15,15416
M_000062,EQ_00020,2025-01-29,Preventive,Electrical,Medium,6.3,22586.11,3262
M_000063,EQ_00020,2026-03-06,Preventive,Scheduled Service,Low,8.5,18113.16,4732
M_000064,EQ_00020,2025-04-18,Corrective,Electrical,Medium,7.1,19758.36,4630
M_000065,EQ_00020,2026-08-22,Corrective,Electrical,Medium,11.6,30192.36,3767
M_000066,EQ_00021,2025-07-10,Corrective,Electrical,Low,7.8,32348.49,10205
M_000067,EQ_00021,2025-10-18,Corrective,Scheduled Service,Medium,17.6,62028.87,9706
M_000068,EQ_00021,2025-09-06,Preventive,Engine,Low,8.4,15841.29,10483
M_000069,EQ_00021,2026-06-17,Corrective,Hydraulic,Medium,10.1,45118.63,10532
M_000070,EQ_00022,2026-02-17,Corrective,Hydraulic,Low,22.6,60986.02,17540
M_000071,EQ_00022,2025-04-03,Preventive,Hydraulic,Low,7.0,25097.65,16931
M_000072,EQ_00022,2026-05-05,Corrective,Electrical,High,24.2,83178.66,16809
