operator_id,experience_years,certification_level,primary_equipment_type,availability_status
OP_0001,20,Basic,Bulldozer,Assigned
OP_0002,25,Basic,Crane,Available
OP_0003,14,Intermediate,Excavator,Assigned
OP_0004,1,Intermediate,Dump Truck,Assigned
OP_0005,22,Basic,Dump Truck,Assigned
OP_0006,5,Advanced,Generator,Assigned
OP_0007,4,Basic,Bulldozer,Assigned
OP_0008,17,Advanced,Crane,Assigned
OP_0009,16,Advanced,Forklift,Assigned
OP_0010,2,Intermediate,Generator,Available
OP_0011,5,Intermediate,Excavator,Available
OP_0012,15,Intermediate,Dump Truck,On Leave
OP_0013,7,Intermediate,Generator,Assigned
OP_0014,18,Basic,Loader,Assigned
OP_0015,11,Advanced,Dump Truck,Assigned
OP_0016,15,Intermediate,Excavator,Available
OP_0017,12,Intermediate,Excavator,Assigned
OP_0018,10,Advanced,Excavator,Available
OP_0019,9,Intermediate,Bulldozer,Assigned
OP_0020,18,Intermediate,Forklift,Assigned
OP_0021,13,Intermediate,Dump Truck,Available
OP_0022,15,Basic,Generator,Available
OP_0023,15,Intermediate,Crane,Assigned
OP_0024,6,Intermediate,Forklift,Available
OP_0025,23,Intermediate,Bulldozer,Available
OP_0026,15,Basic,Forklift,Assigned
OP_0027,18,Intermediate,Excavator,Assigned
OP_0028,23,Intermediate,Excavator,Assigned
OP_0029,24,Intermediate,Excavator,Available
OP_0030,17,Basic,Generator,Assigned
OP_0031,20,Basic,Bulldozer,Available
OP_0032,12,Intermediate,Loader,Available
OP_0033,19,Basic,Loader,Available
OP_0034,9,Intermediate,Generator,Available
OP_0035,18,Advanced,Crane,Available
OP_0036,3,Intermediate,Excavator,Available
OP_0037,23,Advanced,Crane,Available
OP_0038,7,Basic,Crane,Assigned
OP_0039,17,Basic,Generator,Assigned
OP_0040,1,Advanced,Generator,Available
OP_0041,4,Advanced,Excavator,Available
OP_0042,25,Advanced,Generator,On Leave
OP_0043,21,Basic,Excavator,Assigned
OP_0044,6,Advanced,Dump Truck,Assigned
OP_0045,4,Intermediate,Crane,Available
OP_0046,21,Intermediate,Crane,Assigned
OP_0047,25,Basic,Loader,Available
OP_0048,5,Advanced,Crane,Available
OP_0049,17,Basic,Generator,Assigned
OP_0050,8,Advanced,Forklift,Assigned
OP_0051,19,Intermediate,Generator,Assigned
OP_0052,11,Advanced,Loader,Assigned
OP_0053,4,Advanced,Loader,Available
OP_0054,9,Advanced,Loader,Available
OP_0055,14,Basic,Generator,Assigned
OP_0056,20,Basic,Loader,Assigned
OP_0057,1,Intermediate,Loader,Available
OP_0058,24,Intermediate,Crane,Assigned
OP_0059,17,Basic,Crane,Available
OP_0060,22,Basic,Loader,Available
OP_0061,24,Intermediate,Dump Truck,Assigned
OP_0062,4,Basic,Loader,Available
OP_0063,3,Basic,Generator,Assigned
OP_0064,20,Advanced,Generator,Assigned
OP_0065,5,Intermediate,Loader,Available
OP_0066,4,Advanced,Forklift,Available
OP_0067,12,Advanced,Bulldozer,Available
OP_0068,23,Basic,Forklift,On Leave
OP_0069,20,Advanced,Crane,Assigned
OP_0070,13,Intermediate,Loader,Assigned
OP_0071,5,Intermediate,Bulldozer,Available
OP_0072,9,Basic,Loader,Assigned
OP_0073,18,Basic,Crane,Available
OP_0074,4,Basic,Dump Truck,Assigned
OP_0075,14,Intermediate,Excavator,Assigned
OP_0076,1,Advanced,Generator,Assigned
OP_0077,9,Intermediate,Forklift,Available
OP_0078,7,Advanced,Loader,Available
OP_0079,18,Advanced,Loader,Available
OP_0080,23,Intermediate,Dump Truck,Assigned
OP_0081,4,Basic,Bulldozer,Assigned
OP_0082,20,Advanced,Generator,Available
OP_0083,17,Intermediate,Bulldozer,Assigned
OP_0084,25,Basic,Dump Truck,Assigned
OP_0085,23,Intermediate,Crane,Available
OP_0086,3,Advanced,Generator,Available
OP_0087,19,Intermediate,Generator,Available
OP_0088,15,Intermediate,Bulldozer,Assigned
OP_0089,3,Basic,Dump Truck,Assigned
OP_0090,7,Basic,Loader,Assigned
OP_0091,24,Basic,Crane,Assigned
OP_0092,14,Advanced,Dump Truck,Assigned
OP_0093,9,Advanced,Forklift,On Leave
OP_0094,9,Basic,Excavator,Assigned
OP_0095,21,Intermediate,Forklift,Assigned
OP_0096,8,Basic,Generator,Assigned
OP_0097,4,Basic,Loader,Assigned
OP_0098,15,Intermediate,Dump Truck,Assigned
OP_0099,25,Intermediate,Crane,On Leave
OP_0100,5,Intermediate,Excavator,Assigned
OP_0101,7,Intermediate,Dump Truck,Assigned
OP_0102,12,Intermediate,Generator,Assigned
OP_0103,5,Basic,Bulldozer,Assigned
OP_0104,17,Basic,Generator,Assigned
OP_0105,7,Advanced,Generator,Assigned
OP_0106,4,Advanced,Generator,Assigned
OP_0107,7,Advanced,Crane,On Leave
OP_0108,24,Advanced,Crane,Available
OP_0109,24,Intermediate,Crane,Assigned
OP_0110,13,Advanced,Generator,Assigned
OP_0111,11,Intermediate,Forklift,On Leave
OP_0112,21,Basic,Crane,On Leave
OP_0113,5,Basic,Forklift,Assigned
OP_0114,17,Basic,Loader,Assigned
OP_0115,18,Basic,Crane,Available
OP_0116,18,Intermediate,Excavator,On Leave
OP_0117,6,Advanced,Dump Truck,Available
