rental_id,equipment_id,site_id,operator_id,checkout_date,expected_return_date,actual_return_date,planned_duration_days,rental_status,extension_requested,rental_cost_inr
R_000001,EQ_00504,SITE_029,OP_0201,2024-05-17,2024-07-01,2024-06-29,45,Returned,0,630000
R_000002,EQ_00418,SITE_019,OP_0071,2026-05-14,2026-05-19,2026-05-19,5,Returned,0,90000
R_000003,EQ_00774,SITE_020,OP_0131,2024-03-23,2024-04-20,2024-04-20,28,Returned,0,504000
R_000004,EQ_00353,SITE_001,OP_0131,2024-07-26,2024-08-01,2024-08-01,6,Returned,0,108000
R_000005,EQ_00051,SITE_030,OP_0165,2026-08-04,2026-09-13,2026-09-11,40,Returned,0,640000
R_000006,EQ_00784,SITE_026,OP_0114,2024-01-08,2024-01-21,2024-01-20,13,Returned,0,182000
R_000007,EQ_00678,SITE_014,OP_0252,2024-11-18,2024-11-26,2024-11-26,8,Returned,0,144000
R_000008,EQ_00145,SITE_029,OP_0299,2025-01-27,2025-02-09,2025-02-09,13,Returned,0,91000
R_000009,EQ_00053,SITE_015,OP_0280,2024-05-24,2024-06-13,2024-06-13,20,Returned,0,320000
R_000010,EQ_00130,SITE_030,OP_0061,2024-06-28,2024-08-09,2024-08-09,42,Returned,0,588000
R_000011,EQ_00203,SITE_017,OP_0227,2024-08-26,2024-10-02,2024-10-02,37,Returned,1,1110000
R_000012,EQ_00363,SITE_027,OP_0078,2026-07-20,2026-07-31,2026-08-02,11,Overdue Returned,1,242000
R_000013,EQ_00587,SITE_024,OP_0089,2026-06-18,2026-07-09,2026-07-09,21,Returned,0,189000
R_000014,EQ_00522,SITE_020,OP_0317,2025-01-05,2025-01-29,2025-01-29,24,Returned,0,216000
R_000015,EQ_00169,SITE_017,OP_0285,2024-04-27,2024-05-02,2024-05-03,5,Overdue Returned,0,70000
R_000016,EQ_00315,SITE_016,OP_0133,2024-02-09,2024-03-18,2024-03-18,38,Returned,0,684000
R_000017,EQ_00557,SITE_005,OP_0236,2026-05-28,2026-07-02,2026-07-02,35,Returned,0,245000
R_000018,EQ_00385,SITE_011,OP_0093,2024-11-14,2024-12-02,2024-12-07,18,Overdue Returned,1,252000
R_000019,EQ_00145,SITE_021,OP_0063,2025-06-03,2025-06-27,,24,Overdue,0,168000
R_000020,EQ_00359,SITE_006,OP_0103,2024-10-22,2024-12-04,2024-12-05,43,Overdue Returned,0,946000
R_000021,EQ_00389,SITE_030,OP_0260,2025-10-30,2025-12-04,2025-12-03,35,Returned,0,490000
R_000022,EQ_00130,SITE_005,OP_0277,2025-09-16,2025-10-01,2025-10-03,15,Overdue Returned,0,210000
R_000023,EQ_00706,SITE_006,OP_0270,2025-01-08,2025-01-28,2025-01-28,20,Returned,0,360000
R_000024,EQ_00518,SITE_003,OP_0011,2026-02-12,2026-03-04,2026-03-04,20,Returned,1,180000
R_000025,EQ_00047,SITE_005,OP_0327,2025-03-04,2025-03-14,2025-03-14,10,Returned,0,90000
R_000026,EQ_00296,SITE_004,OP_0109,2025-03-20,2025-04-15,,26,Active,0,416000
R_000027,EQ_00018,SITE_019,OP_0054,2024-03-10,2024-04-10,2024-04-11,31,Overdue Returned,0,434000
R_000028,EQ_00143,SITE_018,OP_0293,2025-02-18,2025-03-01,2025-03-01,11,Returned,0,330000
R_000029,EQ_00172,SITE_018,OP_0052,2025-08-13,2025-08-30,,17,Active,0,306000
R_000030,EQ_00550,SITE_018,OP_0231,2025-02-21,2025-03-20,2025-03-22,27,Overdue Returned,0,378000
R_000031,EQ_00541,SITE_003,OP_0337,2025-11-07,2025-11-12,,5,Active,1,80000
R_000032,EQ_00583,SITE_010,OP_0113,2025-08-10,2025-09-17,2025-09-17,38,Returned,1,684000
R_000033,EQ_00272,SITE_024,OP_0112,2024-09-11,2024-10-21,,40,Active,0,720000
R_000034,EQ_00472,SITE_016,OP_0170,2025-10-28,2025-12-10,,43,Overdue,1,602000
R_000035,EQ_00324,SITE_012,OP_0148,2026-08-04,2026-09-02,2026-09-02,29,Returned,0,522000
R_000036,EQ_00123,SITE_017,OP_0280,2025-05-05,2025-06-16,2025-06-16,42,Returned,0,672000
R_000037,EQ_00041,SITE_013,OP_0050,2025-04-29,2025-05-08,2025-05-08,9,Returned,0,162000
R_000038,EQ_00408,SITE_003,OP_0300,2025-12-21,2026-01-23,,33,Active,0,231000
R_000039,EQ_00001,SITE_016,OP_0279,2024-02-01,2024-02-06,2024-02-06,5,Returned,1,110000
R_000040,EQ_00307,SITE_002,OP_0011,2024-04-03,2024-05-05,2024-05-05,32,Returned,0,512000
R_000041,EQ_00789,SITE_008,OP_0172,2025-05-25,2025-06-11,2025-06-11,17,Returned,0,272000
R_000042,EQ_00351,SITE_002,OP_0003,2025-01-25,2025-03-08,2025-03-08,42,Returned,0,588000
R_000043,EQ_00185,SITE_007,OP_0233,2025-05-12,2025-06-11,,30,Active,0,210000
R_000044,EQ_00225,SITE_005,OP_0224,2024-01-31,2024-02-13,2024-02-13,13,Returned,1,117000
R_000045,EQ_00319,SITE_017,OP_0224,2025-03-12,2025-04-22,2025-05-02,41,Overdue Returned,1,369000
R_000046,EQ_00770,SITE_008,OP_0104,2025-11-09,2025-12-15,2025-12-15,36,Returned,0,792000
R_000047,EQ_00446,SITE_030,OP_0327,2025-09-13,2025-10-15,2025-10-14,32,Returned,0,704000
R_000048,EQ_00720,SITE_027,OP_0245,2024-11-25,2024-12-18,,23,Overdue,0,322000
R_000049,EQ_00522,SITE_004,OP_0321,2024-05-07,2024-05-17,2024-05-15,10,Returned,1,90000
R_000050,EQ_00056,SITE_013,OP_0254,2026-08-02,2026-08-28,,26,Active,0,468000
R_000051,EQ_00794,SITE_016,OP_0326,2024-04-21,2024-04-28,2024-04-27,7,Returned,0,49000
R_000052,EQ_00708,SITE_021,OP_0072,2024-03-08,2024-04-14,2024-04-14,37,Returned,0,592000
