site_id,site_name,city,site_type,project_phase,project_size,active_workers,project_completion_pct
SITE_001,Bengaluru Project 01,Ahmedabad,Infrastructure,Peak Activity,Medium,612,28
SITE_002,Hyderabad Project 02,Bengaluru,Construction,Near Completion,Medium,132,70
SITE_003,Mumbai Project 03,Delhi,Infrastructure,Active Construction,Medium,343,76
SITE_004,Pune Project 04,Delhi,Mining,Active Construction,Large,464,45
SITE_005,Pune Project 05,Mumbai,Construction,Active Construction,Medium,342,72
SITE_006,Chennai Project 06,Hyderabad,Infrastructure,Early Construction,Medium,312,29
SITE_007,Bengaluru Project 07,Kolkata,Infrastructure,Early Construction,Medium,141,12
SITE_008,Bengaluru Project 08,Bengaluru,Infrastructure,Active Construction,Medium,272,13
SITE_009,Ahmedabad Project 09,Ahmedabad,Construction,Early Construction,Small,185,45
SITE_010,Hyderabad Project 10,Bengaluru,Construction,Peak Activity,Medium,223,87
SITE_011,Hyderabad Project 11,Mumbai,Construction,Active Construction,Small,457,16
SITE_012,Bengaluru Project 12,Delhi,Infrastructure,Peak Activity,Medium,424,46
SITE_013,Pune Project 13,Pune,Mining,Peak Activity,Large,410,69
SITE_014,Pune Project 14,Bengaluru,Infrastructure,Active Construction,Small,260,23
SITE_015,Hyderabad Project 15,Hyderabad,Construction,Peak Activity,Small,625,70
SITE_016,Pune Project 16,Pune,Construction,Peak Activity,Medium,93,32
SITE_017,Ahmedabad Project 17,Mumbai,Mining,Active Construction,Medium,248,78
SITE_018,Pune Project 18,Bengaluru,Construction,Active Construction,Medium,111,57
SITE_019,Kolkata Project 19,Pune,Infrastructure,Peak Activity,Medium,246,54
SITE_020,Mumbai Project 20,Bengaluru,Mining,Early Construction,Large,626,21
SITE_021,Hyderabad Project 21,Ahmedabad,Infrastructure,Early Construction,Medium,263,47
SITE_022,Chennai Project 22,Mumbai,Construction,Planning,Medium,594,82
SITE_023,Ahmedabad Project 23,Kolkata,Infrastructure,Peak Activity,Large,341,6
SITE_024,Delhi Project 24,Delhi,Infrastructure,Peak Activity,Small,466,74
SITE_025,Mumbai Project 25,Chennai,Infrastructure,Peak Activity,Small,319,49
SITE_026,Chennai Project 26,Delhi,Construction,Peak Activity,Small,202,70
SITE_027,Pune Project 27,Delhi,Construction,Active Construction,Large,506,65
SITE_028,Delhi Project 28,Pune,Construction,Active Construction,Medium,631,44
SITE_029,Bengaluru Project 29,Mumbai,Construction,Early Construction,Small,200,33
SITE_030,Bengaluru Project 30,Bengaluru,Mining,Early Construction,Medium,515,62
